epoch,train_loss,train_r2,val_loss,val_r2
1,5402769.511232333,-0.5569280775200205,176937826.0746562,-45.91385794833228
2,4311439.1686149305,-0.24243697057438895,162154489.2730845,-41.99415752145306
3,3211880.1194419493,0.0744253895770981,124418525.57956778,-31.988723395017807
4,2214427.182671794,0.36186362138786576,90539249.76031435,-23.00586487296901
5,1080885.1140242533,0.6885189468254524,56495617.90176817,-13.979427597334666
6,462179.72415716934,0.8668126428773317,33976200.27111984,-8.008557838119367
7,274846.5407730743,0.9207968623296885,21619548.306483302,-4.732275836716146
8,192633.5720160566,0.9444883565518557,16247842.760314342,-3.3080047159944916
9,130376.08721648327,0.9624292339819935,12361727.884086443,-2.277627857356805
10,103437.84891856613,0.9701920858952205,10946748.864440078,-1.9024557961591606
11,76277.83827089884,0.9780188460318183,8892194.163064834,-1.3577046533746038
12,64947.85595560577,0.981283832163335,8193287.8978389,-1.1723944525395535
13,50471.7820272148,0.9854554347556993,6886715.131630648,-0.8259655412684515
14,43905.19765335518,0.9873477420705236,6404078.542239686,-0.6979977704093878
15,35443.16556824402,0.9897862644200842,5559548.512770138,-0.47407638958348053
16,30958.04214021797,0.9910787522398513,5182284.723968565,-0.3740474482736329
17,25602.361307071777,0.9926221108830495,4619217.88064833,-0.22475412025906283
18,22215.295528470975,0.9935981690470173,4313424.087671906,-0.1436749627148859
19,18613.130230190673,0.9946362130631906,3929893.005157171,-0.0419843347932467
20,16033.937432015635,0.9953794646927535,3692518.5822691554,0.020953874606139178
21,13490.035453955725,0.9961125465715853,3421278.816060904,0.0928712528124368
22,11604.910236734715,0.9966557873067522,3248934.473968566,0.13856716071415376
23,9804.555824812627,0.997174599417355,3055701.226669941,0.18980165269624805
24,8467.974729882768,0.9975597649515179,2926302.680439587,0.22411079946896084
25,7242.234986146541,0.9979129890764837,2791967.609098723,0.2597288223894628
26,6309.148891789067,0.9981818785669085,2686836.134638998,0.2876037192503099
27,5512.685250101319,0.9984113972834611,2590205.405083497,0.3132247012824385
28,4881.053281594308,0.9985934160715672,2504500.8860510807,0.3359486600411241
29,4368.540712080296,0.998741107946352,2427871.9981888505,0.35626630135539494
30,3953.6990902376206,0.9988606537790571,2358344.5709724952,0.37470101945560264
31,3613.6396432290203,0.9989586494523279,2296616.5958681237,0.3910677732460687
32,3327.364393287794,0.9990411460204927,2244093.4549054517,0.4049939201694486
33,3077.4924726916674,0.9991131521682868,2201106.1735633593,0.4163917132211581
34,2853.2520618725703,0.9991777720284143,2165995.009209234,0.4257011937031444
35,2645.372230349887,0.9992376772156351,2136299.5091478387,0.4335747604506205
36,2449.001849654442,0.9992942657158613,2109053.619443762,0.44079881882205096
37,2261.98189809385,0.9993481596591857,2080608.8829659873,0.4483407364255301
38,2083.9713325286325,0.9993994573663684,2048984.4549668469,0.4567257491200942
39,1916.2161799031858,0.9994477997391746,2013885.4862321955,0.46603199734455425
40,1759.769763644133,0.999492883252966,1976620.389796169,0.47591257721518043
41,1612.9467708468571,0.9995351935576653,1939242.2705979862,0.485823132801007
42,1473.4001870282762,0.9995754070059834,1902847.6927799608,0.49547291035108965
43,1341.8673915147729,0.9996133111025879,1867867.9250982318,0.5047475656623509
44,1223.4220580506426,0.9996474437510978,1834127.464206778,0.5136936152277819
45,1113.0948878780205,0.9996792369745545,1803856.8133902259,0.521719664514254
46,1005.5930917989584,0.9997102160131947,1776344.3191613457,0.5290144252486162
47,904.254043054827,0.9997394191066278,1746476.5601055992,0.5369336551911821
48,819.9248099370991,0.9997637204509843,1706066.723845776,0.5476480373271988
49,773.5178881186248,0.999777093634249,1649155.0758380403,0.5627377746722972
50,823.6050423194445,0.9997626599066273,1566501.9850656926,0.5846526841156969
51,1121.1634402580269,0.9996769118482475,1411561.738411714,0.625734033464582
52,1771.369544439789,0.9994895405060672,1038680.4186517681,0.7246009788650174
53,2556.6067887431927,0.9992632569503106,743116.7813113949,0.8029676506638457
54,5774.552248599474,0.998335934467482,736113.5615176817,0.8048245082578033
55,13396.431933725333,0.9961395205454913,513067.9883963654,0.8639635223161637
56,18842.91656322809,0.9945699949065624,399287.7324410609,0.8941315807499362
57,29600.68528205123,0.9914699049235594,808529.5890225933,0.7856238920446472
58,39047.071907672245,0.9887477188256998,1763882.8607563851,0.5323184835550215
59,22036.76972080439,0.9936496153381025,1550423.6237721022,0.5889157512648991
60,21461.44569093373,0.9938154076269808,807716.3511173871,0.7858395171127441
61,21857.33396487404,0.9937013235942104,673637.4122053045,0.8213896332294512
62,10230.140261982682,0.9970519577811,682262.6711689588,0.8191027060962447
63,4704.929790460847,0.9986441699635448,698266.757981336,0.8148593319754486
64,4016.144632798218,0.9988426586952662,726764.4312991159,0.8073033691867104
65,2734.909464413146,0.9992118750726959,767581.6837549116,0.7964809515372638
66,2129.475369442936,0.9993863443623988,797247.6371561886,0.7886152258295864
67,2691.91056483466,0.999224266174471,823492.5373280944,0.7816565726737249
68,3405.3883510258074,0.9990186616949034,820066.1164047151,0.7825650643401003
69,3702.1643408075656,0.998933139108611,776572.4599091356,0.7940971081134292
70,3439.4282385969386,0.9990088523390341,692347.8777013753,0.8164286834327013
71,2610.1757835972426,0.9992478198611426,636166.2845960216,0.8313248495516454
72,1927.2889755406648,0.9994446088628002,600277.2101547151,0.8408405925693598
73,1554.7461206182159,0.999551965362897,572355.4574840374,0.8482438538339316
74,1436.4477189785973,0.9995860556799563,551183.1650908644,0.8538575431976305
75,1724.2806561682269,0.99950311022295,536668.2472372298,0.8577060759099658
76,2663.542729050289,0.9992324409848895,573637.9595254175,0.8479038050682053
77,3297.412245974229,0.9990497774041395,614744.8257459479,0.8370046006457366
78,2683.292002419421,0.9992267497901014,720367.4512985019,0.8089994847596863
79,2563.4035373313386,0.9992612983186524,924224.2341601179,0.7549482484238944
80,3236.7594133330385,0.9990672558703513,1077375.2569990177,0.7143412975163723
81,5354.737274073977,0.9984569135060191,1209313.3990667977,0.6793587994181574
82,6643.984310264082,0.998085388302169,1306912.150540275,0.6534811624246065
83,10799.726593387655,0.9968878188830371,1275175.942043222,0.6618957921004891
84,11651.717593827196,0.9966422986945832,954571.0197691552,0.7469020035541181
85,9416.216386741502,0.9972865080380765,762877.0752701375,0.7977283477134678
86,6804.068930608139,0.9980392563719462,512660.37383349705,0.864071597930841
87,6111.698107582571,0.9982387784225805,346771.2647347741,0.908055964065894
88,7931.191173012916,0.997714451061965,206414.0057404224,0.9452707338046858
89,10479.747229342458,0.996980027965424,235381.81853204814,0.9375901160444434
90,9069.602331559416,0.997386392625909,385258.1748219548,0.8978514205805206
91,5015.413622650756,0.9985546971452591,516461.9862782417,0.8630636260490256
92,3475.2109586217553,0.9989985407569749,645152.6832023576,0.8289421674198377
93,3303.163040025781,0.9990481201880539,708732.1745456778,0.8120844952057036
94,4788.2880890900005,0.9986201484037772,759048.5503438114,0.7987434526217267
95,7471.517310843477,0.9978469162982119,792397.3382858547,0.7899012467576916
96,10195.359927684785,0.9970619805098004,782297.4928781926,0.7925791538918385
97,12461.113336521563,0.9964090533996075,699140.8109037328,0.8146275800081204
98,10341.198441411841,0.9970199539043639,554533.4370702357,0.8529692410250789
99,6591.569091550157,0.9981004929552075,424307.1714759332,0.8874978463487375
100,8733.841996239835,0.9974831494902976,303221.4123280943,0.9196029104848782
